230,C00578153,CITIZENS FOR CONSTITUTIONAL GOVERNMENT REFORM,QUARTERLY FILER
231,C00577304,CITIZENS FOR PRIVACY,QUARTERLY FILER
232,C00509075,CITIZENS FOR PROSPERITY AND GOOD GOVERNMENT,QUARTERLY FILER
233,C00543066,CITIZENS FOR RESPONSIBLE GOVERNMENT,QUARTERLY FILER
234,C00561480,CITIZENS FOR RESPONSIBLE LEADERSHIP,QUARTERLY FILER
235,C00575993,CITIZENS FOR RESTORING USA,QUARTERLY FILER
236,C00488429,CITIZENS FOR STRENGTH AND SECURITY PAC,QUARTERLY FILER
237,C00544528,CITIZENS UNITED FOR EDUCATION,QUARTERLY FILER
238,C00582254,CITIZENS UNITED FOR FREE TRADE,QUARTERLY FILER
239,C00497420,CITIZENS UNITED SUPER PAC LLC,QUARTERLY FILER
240,C00550566,CIVIC INNOVATION USA INC,QUARTERLY FILER
241,C00528158,CIVIL LIBERTIES ASSAULT FUND,QUARTERLY FILER
242,C00553669,CIVIL LIBERTY UNITED,QUARTERLY FILER
243,C00551788,CLEANSLATENOW.ORG,QUARTERLY FILER
244,C00552125,CLEAR THE WAY,QUARTERLY FILER
245,C00513556,CLERMONT COUNTY REPUBLICAN LEADERSHIP PAC,QUARTERLY FILER
246,C00548461,CLIMATE HAWKS VOTE,QUARTERLY FILER
247,C00578179,CLIMATESECUREPAC,QUARTERLY FILER
248,C00487470,CLUB FOR GROWTH ACTION,MONTHLY FILER
249,C00506113,COALITION FOR AMERICAN VALUES PAC,QUARTERLY FILER
250,C00567644,COALITION FOR AMERICAN VETERANS,QUARTERLY FILER
251,C00580134,COALITION FOR GREEN JOBS NOW!,QUARTERLY FILER
252,C00555540,COALITION FOR KENTUCKY JOB CREATION,QUARTERLY FILER
253,C00567065,COALITION FOR OHIO'S FUTURE,QUARTERLY FILER
254,C00582841,COALITION FOR PROGRESS,QUARTERLY FILER
255,C00493486,COALITION OF AMERICANS FOR POLITICAL EQUALITY,QUARTERLY FILER
256,C00570986,COALITION OF LIMITED SURETIES PAC,QUARTERLY FILER
257,C00574608,COLLEGE CONSERVATIVES,QUARTERLY FILER
258,C00526830,COLORADO HORSE ASSOCIATION,QUARTERLY FILER
259,C00569269,COLORADO PRIORITIES,QUARTERLY FILER
260,C00548016,COMMITTEE FOR ECONOMIC GROWTH AND SOCIAL JUSTICE,QUARTERLY FILER
261,C00526442,COMMITTEE FOR JUSTICE & FAIRNESS PAC,QUARTERLY FILER
262,C00569822,COMMITTEE FOR URBAN REVITALIZATION,QUARTERLY FILER
263,C00549386,COMMITTEE TO ELECT A PROGRESSIVE CONGRESS,QUARTERLY FILER
264,C00569228,COMMITTEE TO ELECT AN INDEPENDENT SENATE,QUARTERLY FILER
265,C00531673,COMMITTEE TO PROTECT AMERICA'S ALLIES,QUARTERLY FILER
266,C00577718,COMMON SENSE GUN LEGISLATION,QUARTERLY FILER
267,C00567214,COMMONWEALTH COMMON SENSE,QUARTERLY FILER
268,C00573170,COMMONWEALTH FORWARD,QUARTERLY FILER
269,C00488486,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,QUARTERLY FILER
270,C00570531,COMMUNITIES APPLIED POLICY STRATEGIES,QUARTERLY FILER
271,C00573329,COMMUNITIES UNITED SUPER PAC,QUARTERLY FILER
272,C00575829,COMMUNITY ACTION NOW,QUARTERLY FILER
273,C00549857,COMMUNITY COALITION,QUARTERLY FILER
274,C00525899,CONCERNED AMERICAN VOTERS,QUARTERLY FILER
275,C00488437,CONCERNED TAXPAYERS OF AMERICA,QUARTERLY FILER
276,C00523076,CONCERNED VOTERS FOR THE ARTS PAC,QUARTERLY FILER
277,C00568519,CONCRETE AND PORTLAND CEMENT ACTION NETWORK,QUARTERLY FILER
278,C00572677,CONGRESSIONAL COMMITTEE ON EURASIAN AFFAIRS,QUARTERLY FILER
279,C00504530,CONGRESSIONAL LEADERSHIP FUND,QUARTERLY FILER
280,C00526871,CONNECTICUT HORSE ASSOCIATION,QUARTERLY FILER
281,C00524751,CONNECTICUT'S FUTURE PAC INC,QUARTERLY FILER
282,C00568816,CONSERVATION VOTERS OF MICHIGAN PAC - FEDERAL ACCOUNT,QUARTERLY FILER
283,C00522227,CONSERVATIVE ACTION COMMITTEE,QUARTERLY FILER
284,C00587469,CONSERVATIVE LEGACY FOUNDATION; THE,QUARTERLY FILER
285,C00575118,CONSERVATIVE LIBERTY COALITION,QUARTERLY FILER
286,C00510727,CONSERVATIVE RENEWAL POLITICAL ACTION COMMITTEE (PAC),QUARTERLY FILER
287,C00541292,CONSERVATIVE SOLUTIONS PAC,QUARTERLY FILER
288,C00542456,CONSERVATIVE STRIKEFORCE SUPER PAC,QUARTERLY FILER
289,C00557595,CONSERVATIVE WARCHEST PAC,QUARTERLY FILER
290,C00573154,"CONSERVATIVE, AUTHENTIC, RESPONSIVE LEADERSHIP FOR YOU AND FOR AMERICA",QUARTERLY FILER
291,C00518779,CONSERVATIVES ACTING TOGETHER POLITICAL ACTION COMMITTEE (CATPAC),QUARTERLY FILER
292,C00574749,CONSERVATIVES FOR EFFECTIVE GOVERNMENT,QUARTERLY FILER
293,C00578708,CONSTITUTION NOW !,QUARTERLY FILER
